,ENTREZID,SYMBOL
486,112495,GTF3C6
487,11253,MAN1B1
488,112574,SNX18
489,11258,DCTN3
490,112597,CYTOR
491,112609,MRAP2
492,11261,CHP1
493,11267,SNF8
494,11275,KLHL2
495,11276,SYNRG
496,112840,WDR89
497,112858,TP53RK
498,112869,SGF29
499,112937,GLB1L3
500,113000,RPUSD1
501,11309,SLCO2B1
502,113091,PTH2
503,113115,MTFR2
504,113130,CDCA5
505,11316,COPE
506,113178,SCAMP4
507,113179,ADAT3
508,113189,CHST14
509,11320,MGAT4A
510,113235,SLC46A1
511,11331,PHB2
512,11336,EXOC3
513,11338,U2AF2
514,113402,SFT2D1
515,11344,TWF2
516,11345,GABARAPL2
517,113452,TMEM54
518,113457,TUBA3D
519,113612,CYP2U1
520,113675,SDSL
521,113691,TUBA3FP
522,1137,CHRNA4
523,113878,DTX2
524,114041,B3GALT5-AS1
525,114049,BUD23
526,114134,SLC2A13
527,114327,EFHC1
528,114609,TIRAP
529,114659,LRRC37B
530,1147,CHUK
531,114757,CYGB
532,114781,BTBD9
533,114787,GPRIN1
534,114791,TUBGCP5
535,114792,KLHL32
536,114799,ESCO1
537,114815,SORCS1
538,114818,KLHL29
539,114822,RHPN1
540,114826,SMYD4
541,114882,OSBPL8
542,114907,FBXO32
543,115,ADCY9
544,115123,MARCHF3
545,115201,ATG4A
546,115207,KCTD12
547,1153,CIRBP
548,115399,LRRC56
549,115560,ZNF501
550,115572,TENT5B
551,115749,C12orf56
552,115817,DHRS1
553,115827,RAB3C
554,115939,TSR3
555,115992,RNF166
556,116028,RMI2
557,116039,OSR2
558,116064,LRRC58
559,116068,LYSMD3
560,116150,NUS1
561,116211,TM4SF19
562,116224,PABIR1
563,116225,ZMYND19
564,116254,GINM1
565,116349,EXOC3-AS1
566,1164,CKS2
567,116412,ZNF837
568,116729,PPP1R27
569,116840,CNTROB
570,116931,MED12L
571,116984,ARAP2
572,116985,ARAP1
573,116987,AGAP1
574,117246,FTSJ3
575,1174,AP1S1
576,117584,RFFL
577,1176,AP3S1
578,1182,CLCN3
579,118471,PRAP1
580,118472,ZNF511
581,118487,CHCHD1
582,1185,CLCN6
583,118813,ZFYVE27
584,118980,SFXN2
585,118987,PDZD8
586,1193,CLIC2
587,119391,GSTO2
588,119392,SFR1
589,119559,SFXN4
590,119692,OR51S1
591,119765,OR4B1
592,120863,DEPDC4
593,1212,CLTB
594,121227,LRIG3
595,1213,CLTC
596,121441,NEDD1
597,121457,IKBIP
598,1215,CMA1
599,121536,AEBP2
600,121601,ANO4
601,121793,TEX29
602,121952,METTL21EP
603,122402,TDRD9
604,122416,ANKRD9
605,122525,C14orf28
606,122769,LRR1
607,122953,JDP2
608,123096,SLC25A29
609,123346,HIGD2B
610,123355,LRRC28
611,123591,TMEM266
612,1236,CCR7
613,123872,DNAAF1
614,124044,SPATA2L
615,124045,SPATA33
616,124093,CCDC78
617,124149,ANKRD26P1
618,124222,PAQR4
619,124245,ZC3H18
620,124359,CDYL2
621,124402,UBALD1
622,124404,SEPTIN12
623,124512,METTL23
624,124602,KIF19
625,124626,ZPBP2
626,124641,OVCA2
627,124751,KRBA2
628,124808,CCDC43
629,124842,TMEM132E
630,124936,CYB5D2
631,124995,MRPL10
632,125144,SNHG29
633,125150,ZSWIM7
634,125170,MIEF2
635,125228,FAM210A
636,125919,ZNF543
637,125972,CALR3
638,126014,OSCAR
639,126075,CCDC159
640,126119,JOSD2
641,1262,CNGA4
642,126231,ZNF573
643,126272,EID2B
644,126282,TNFAIP8L1
645,126298,IRGQ
646,126308,MOB3A
647,126321,MFSD12
648,126374,WTIP
649,126393,HSPB6
650,126626,GABPB2
651,126668,TDRD10
652,126669,SHE
653,126792,B3GALT6
654,1268,CNR1
655,126820,DNAI3
656,127003,CFAP276
657,1271,CNTFR
658,127262,TPRG1L
659,127428,TCEANC2
660,127544,RNF19B
661,128338,DRAM2
662,1284,COL4A2
663,128408,BHLHE23
664,128637,TBC1D20
665,128674,PROKR2
666,1287,COL4A5
667,128989,TANGO2
668,129025,ZNF280A
669,129285,PPP1R21
670,129303,TMEM150A
672,129852,C2orf73
673,129880,BBS5
674,130026,ICA1L
675,130074,FAM168B
676,130106,CIB4
677,130502,TTC32
678,130507,UBR3
679,130557,ZNF513
680,130617,ZFAND2B
681,130872,AHSA2P
682,130916,MTERF4
683,131408,FAM131A
684,131566,DCBLD2
685,131578,LRRC15
686,1316,KLF6
687,1317,SLC31A1
688,132001,TAMM41
689,132141,IQCF1
690,132321,C4orf33
691,1327,COX4I1
692,132864,CPEB2
693,132949,AASDH
694,133396,IL31RA
695,133619,PRRC1
696,133746,JMY
697,133874,C5orf58
698,134353,LSM11
699,134526,ACOT12
700,134549,SHROOM1
701,134637,ADAT2
702,134701,RIPPLY2
703,134957,STXBP5
704,1350,COX7C
705,1352,COX10
706,135228,CD109
707,1353,COX11
708,135892,TRIM50
709,136259,KLF14
710,136288,C7orf57
711,1363,CPE
712,1364,CLDN4
713,136647,MPLKIP
714,1368,CPM
715,136895,SPMIP4
716,137392,CIBAR1
717,1374,CPT1A
718,137492,VPS37A
719,137695,TMEM68
720,137964,GPAT4
721,137970,UNC5D
722,137994,LETM2
723,138050,HGSNAT
724,138065,RNF183
725,138199,CARNMT1
726,138311,DIPK1B
727,1384,CRAT
728,1385,CREB1
729,138639,PTPDC1
730,1387,CREBBP
731,1390,CREM
732,139411,PTCHD1
733,1398,CRK
734,139818,DOCK11
735,139886,SPIN4
736,1399,CRKL
737,14,AAMP
738,140432,RNF113B
739,140453,MUC17
740,140459,ASB6
741,140545,RNF32
742,140685,ZBTB46
743,140686,WFDC3
744,1407,CRY1
745,140707,BRI3BP
746,140710,MTCL2
747,140730,RIMS4
748,140738,TMEM37
749,140739,UBE2F
750,140838,NANP
751,1409,CRYAA
752,140901,STK35
753,1412,CRYBA2
754,1416,CRYBB2P1
755,1419,CRYGB
756,142678,MIB2
757,142891,SAMD8
758,143279,HECTD2
759,143471,PSMA8
760,143501,C11orf40
761,143570,XRRA1
762,143684,FAM76B
763,143872,ARHGAP42
764,143888,POGLUT3
765,144097,SPINDOC
766,144108,SPTY2D1
767,144110,TMEM86A
768,144165,PRICKLE1
769,144233,BCDIN3D
770,144245,ALG10B
771,144363,ETFRF1
772,144406,CFAP251
773,144455,E2F7
774,144486,CEP83-DT
775,144571,A2M-AS1
776,144577,KICS2
777,144811,LACC1
778,1452,CSNK1A1
779,145389,SLC38A6
780,1455,CSNK1G2
781,145741,C2CD4A
782,145773,FAM81A
783,145783,TCF12-DT
784,145788,PIERCE2
785,1459,CSNK2A2
786,146,ADRA1D
787,146057,TTBK2
788,146279,TEKT5
789,146325,PRR35
790,146330,FBXL16
791,1465,CSRP1
792,146512,FLJ30679
793,146513,LINC02135
794,146664,MGAT5B
795,1468,SLC25A10
796,146880,ARHGAP27P1
797,146909,KIF18B
798,147,ADRA1B
799,147007,TMEM199
800,147184,KRT10-AS1
801,147463,ANKRD29
802,147525,LINC00526
803,147658,ZNF534
804,147660,ZNF578
805,147686,ZNF418
806,147727,ILF3-DT
807,147807,ZNF524
808,147837,ZNF563
809,147841,SPC24
810,147872,KASH5
811,1479,CSTF3
812,147906,DACT3
813,147948,ZNF582
814,147949,ZNF583
815,147965,FAM98C
816,147991,DPY19L3
817,148022,TICAM1
818,148156,ZNF558
819,148223,C19orf25
820,148304,C1orf74
821,148413,MRPL20-AS1
822,148641,SLC35F3
823,1487,CTBP1
824,148789,B3GALNT2
825,148824,GCSAML-AS1
826,1490,CCN2
827,149018,LELP1
828,149076,ZNF362
829,1491,CTH
830,149371,EXOC8
831,149685,ADIG
832,149986,LSM14B
833,149992,ANKRD30BP2
834,15,AANAT
835,1500,CTNND1
836,150082,LCA5L
837,150094,SIK1
838,1501,CTNND2
839,150365,MEI1
840,150379,PNPLA5
841,150383,CDPF1
842,150384,GTSE1-DT
843,150465,TTL
844,150468,CKAP2L
845,150590,C2orf15
846,150678,COPS9
847,150709,ANKAR
848,150864,FAM117B
849,151126,ZNF385B
850,151194,METTL21A
851,1512,CTSH
852,151313,FAHD2B
853,151354,LRATD1
854,151393,RMDN2
855,151613,TTC14
856,151651,EFHB
857,151987,PPP4R2
858,152002,XXYLT1
859,152006,RNF38
860,152065,C3orf22
861,152100,CMC1
862,152110,NEK10
863,152206,CCDC13
864,152217,NCBP2AS2
865,152330,CNTN4
866,152405,TEX55
867,1525,CXADR
868,152559,PAQR3
869,152641,WWC2-AS2
870,152877,FAM53A
871,152926,PPM1K
872,152940,SPMIP2
873,153,ADRB1
874,153090,DAB2IP
875,153163,MGC32805
876,153364,MBLAC2
877,153443,SRFBP1
878,153562,MARVELD2
879,153642,ARSK
880,1537,CYC1
881,154043,CNKSR3
882,154064,RAET1L
883,154214,RNF217
884,154215,NKAIN2
885,154442,BVES-AS1
886,155051,CRYGN
887,155435,RBM33
888,157,GRK3
889,157313,CDCA2
890,157567,ANKRD46
891,157657,CFAP418
892,157773,C8orf48
893,158160,HSD17B7P2
894,158228,FAM201A
895,158314,LINC00475
896,158399,ZNF483
897,158405,KIAA1958
898,158427,TSTD2
899,158521,FMR1NB
900,158586,ZXDB
901,158747,MOSPD2
902,158787,RIBC1
903,158798,AKAP14
904,158866,ZDHHC15
905,158931,TCEAL6
906,159,ADSS2
907,16,AARS1
908,160,AP2A1
909,1601,DAB2
910,1603,DAD1
911,160492,LMNTD1
912,160518,DENND5B
913,160762,CCDC63
914,1608,DGKG
915,161,AP2A2
916,1611,DAP
917,161159,ACTN1-DT
918,161247,FITM1
919,1613,DAPK3
920,161424,NOP9
921,1615,DARS1
922,161725,OTUD7A
923,161779,PGBD4
924,1618,DAZL
925,161835,FSIP1
926,161882,ZFPM1
927,1620,BRINP1
928,1622,DBI
929,162494,RHBDL3
930,162979,ZNF296
931,163049,ZNF791
932,163081,ZNF567
933,163126,EID2
934,163183,SYNE4
935,163351,GBP6
936,1635,DCTD
937,163590,TOR1AIP2
938,163859,SDE2
939,164,AP1G1
940,165324,UBXN2A
941,165530,CLEC4F
942,1662,DDX10
943,1665,DHX15
944,1673,DEFB4A
945,1674,DES
