,Var1,Freq
1493,Arid3a,1
1495,Arid4a,1
1500,Ark2c,2
1503,Arl11,1
1506,Arl15,3
1514,Arl5c,2
1516,Arl6ip1,1
1517,Arl6ip6,1
1518,Arl8a,1
1522,Armc3,1
1527,Armcx2,1
1528,Armcx3,1
1530,Armcx6,2
1531,Armh2,1
1533,Armh4,1
1535,Arnt2,3
1537,Arpc1b,1
1540,Arpc4,1
1543,Arpin,1
1551,Arrdc4,1
1552,Arsb,1
1555,Art2a,1
1556,Art3,4
1557,Art4,2
1558,Artn,2
1559,Arv1,1
1560,Arvcf,1
1561,Arx,1
1562,Arxes1,1
1563,Arxes2,1
1567,Asap2,1
1571,Asb14,2
1572,Asb2,5
1573,Asb3,1
1574,Asb4,1
1579,Ascl1,1
1580,Ascl2,1
1581,Ascl3,1
1582,Ascl4,1
1583,Ascl5,1
1584,Asdurf,1
1586,Asgr1,1
1587,Ash2l,1
1588,Asic1,1
1590,Asic3,1
1592,Asmt,2
1594,Aspg,1
1596,Asphd1,1
1598,Aspm,2
1602,Aste1,1
1603,Astn1,1
1604,Astn2,3
1605,Asxl2,1
1606,Atad1,1
1609,Atad3a,2
1613,Atcayos,1
1615,Atf2,1
1617,Atf4,1
1618,Atf6,2
1624,Atg13,1
1627,Atg16l2,1
1636,Atl2,1
1639,Atn1,2
1640,Atoh1,1
1641,Atoh7,1
1644,Atox1,1
1645,Atp10a,1
1647,Atp11a,1
1648,Atp11b,1
1651,Atp13a2,2
1652,Atp13a3,1
1653,Atp13a4,2
1655,Atp1a2,1
1657,Atp1a4,1
1659,Atp1b3,1
1661,Atp2a2,2
1663,Atp2b2,5
1666,Atp2c2,2
1668,Atp5c1,1
1669,Atp5d,1
1673,Atp5g3,1
1675,Atp5k,1
1676,Atp5l,1
1677,Atp5mpl,1
1678,Atp5o,1
1685,Atp6v0c-ps2,1
1686,Atp6v0d2,1
1691,Atp6v1c1,1
1692,Atp6v1c2,1
1696,Atp6v1fnb,1
1700,Atp7b,1
1705,Atp8b4,1
1706,Atp8b5,1
1708,Atp9b,1
1710,Atpif1,1
1711,Atrip,1
1713,Atrx,1
1715,Atxn10,1
1717,Atxn2,3
1722,Atxn7l2,1
1725,AU016765,1
1726,AU019990,1
1727,AU020206,1
1728,AU021063,1
1731,AU040972,1
1734,Aunip,1
1736,Aurkaip1,1
1737,Aurkb,1
1738,Auts2,2
1739,AV205837,1
1740,Aven,2
1743,Avpr1a,1
1744,Avpr1b,1
1745,AW046200,1
1746,AW047730,1
1747,AW121686,2
1748,AW146154,1
1750,AW551984,1
1751,AW554918,1
1753,Awat2,2
1754,Axdnd1,1
1758,AY512931,1
1759,AY702102,1
1761,Azin1,2
1763,B020018J22Rik,2
1764,B020031M17Rik,1
1767,B230110G15Rik,1
1769,B230206L02Rik,1
1771,B230217C12Rik,2
1774,B230303A05Rik,1
1778,B330016D10Rik,2
1779,B3galnt1,1
1782,B3galt2,1
1787,B3gat2,1
1788,B3gat3,1
1791,B3gnt3,1
1793,B3gnt5,1
1794,B3gnt7,1
1795,B3gnt9,1
1797,B430212C06Rik,1
1798,B430306N03Rik,1
1799,B430319F04Rik,1
1802,B4galnt4,2
1804,B4galt2,1
1807,B4galt5,1
1809,B4galt7,1
1810,B630019K06Rik,1
1811,B930025P03Rik,1
1815,Baalc,2
1817,Bace1,2
1818,Bace2,1
1820,Bach2,2
1821,Bach2os,2
1823,Bag1,1
1824,Bag2,1
1825,Bag3,1
1826,Bag5,2
1829,Bahd1,2
1830,Baiap2l1,1
1832,Bak1,2
1833,Bambi,1
1836,Banf2os,1
1837,Bank1,1
1839,Bard1,1
1840,Barx1,1
1841,Barx2,1
1842,Basp1,1
1844,Baz1a,1
1845,Baz1b,2
1847,Baz2b,1
1848,BB019430,1
1850,Bbc3,3
1851,Bbln,1
1852,Bbof1,1
1853,Bbs1,2
1856,Bbs2,1
1864,BC005537,1
1866,BC016579,1
1867,BC023719,2
1868,BC024063,1
1869,BC024139,1
1870,BC024386,1
1871,BC025920,1
1872,BC028471,1
1875,BC034090,2
1877,BC042761,1
1879,BC061237,1
1880,BC065403,1
1881,BC106179,1
1882,Bcan,1
1883,Bcap29,1
1885,Bcar1,1
1887,Bcas1,1
1888,Bcas1os1,1
1891,Bcas3os1,1
1893,Bcat2,2
1894,Bcdin3d,1
1896,Bckdk,1
1901,Bcl2a1d,1
1906,Bcl3,1
1907,Bcl6,2
