"","Row.names","Gene.Symbol","ID","id","V12CBD","V15CBD","V59CBD","V75CBD","V77CBD","V96CBD","V99CBD","V100CBD","V12DMSO","V15DMSO","V59DMSO","V75DMSO","V77DMSO","V96DMSO","V99DMSO","V100DMSO"
"291","FEZ2","FEZ2","215000_s_at",604,0.74201703,1.7771394,1.235664,1.6139234,1.1584404,1.3698468,0.5317918,1.9857856,0.7336458,2.638722,0.820011,1.2764822,0.8447798,0.8066603,0.7678642,0.8459992
"228","DNM1","DNM1","215116_s_at",606,-0.1790935,-0.46996412,-0.49917156,-0.47703674,-0.321111,-0.251165,-0.26788744,-0.5378069,-0.11652024,-0.58074427,-0.22216193,-0.25903556,-0.12481413,-0.09114081,-0.100600936,-0.1387477
"894","UBQLN2","UBQLN2","215884_s_at",607,-0.29311296,-0.41696212,-0.40320745,-0.44211978,-0.3940066,-0.34025595,-0.3048518,-0.17698433,-0.3183446,-0.4944605,-0.3585351,-0.3813621,-0.31692374,-0.3156676,-0.32126677,-0.32311216
"392","IGHMBP2","IGHMBP2","215980_s_at",610,-0.28063813,-0.35733804,-0.39066178,-0.3259021,-0.25737765,-0.35093144,-0.2735188,-0.30965453,-0.27229396,-0.42090735,-0.30643937,-0.2910185,-0.26614925,-0.27651057,-0.27357247,-0.2783205
"363","HOMER2","HOMER2","217080_s_at",614,-0.6919376,-0.7179371,-0.7209565,-0.69816846,-0.75502723,-0.7222179,-0.6911508,-0.74704325,-0.6972235,-0.7516715,-0.70127,-0.69538116,-0.6979401,-0.700949,-0.7001242,-0.70507276
"354","HERPUD1","HERPUD1","217168_s_at",615,1.1148752,1.0650407,0.87891614,0.96552724,0.9413964,1.0145621,1.1640913,0.75204927,1.0798236,1.155925,0.9551972,1.0831885,1.0997657,1.0899549,1.0612977,1.1681315
"526","NGRN","NGRN","217722_s_at",616,-0.59731495,-0.6715224,-0.63535625,-0.6491326,-0.6181903,-0.6576726,-0.61738783,-0.60019803,-0.58429724,-0.7330072,-0.59640133,-0.6229002,-0.6044889,-0.595093,-0.6003458,-0.5957537
"167","CNDP2","CNDP2","217752_s_at",617,-0.19029446,-0.3702125,-0.24582912,-0.30605286,-0.273213,-0.30165437,-0.14886393,-0.4266137,-0.13172728,-0.49274063,-0.21121253,-0.2252614,-0.15376079,-0.1700221,-0.13627687,-0.16165085
"850","TM9SF3","TM9SF3","217758_s_at",618,-0.7341907,-0.76525885,-0.79733247,-0.7249253,-0.7292237,-0.7527564,-0.7117171,-0.77379435,-0.7311048,-0.79431176,-0.75461984,-0.7269171,-0.72153956,-0.7234687,-0.7285206,-0.7172047
"18","ADI1","ADI1","217761_at",619,0.07542321,0.20505807,0.06223252,0.08744344,0.17343388,0.11803617,0.16636038,0.058928903,0.19014713,0.21557985,0.11698713,0.17228341,0.18992539,0.21275179,0.22216277,0.21453527
"854","TMEM50A","TMEM50A","217766_s_at",621,0.20074786,0.034984604,-0.023275575,-0.09077167,0.058967717,-0.07110719,0.2991452,-0.2642294,0.17100504,-0.12182287,0.14384933,0.11454951,0.116881095,0.1484665,0.16004838,0.11760406
"773","SNX6","SNX6","217789_at",624,-0.062337186,-0.22498532,-0.34782246,-0.191339,-0.06441527,-0.26435527,-0.07616021,-0.3521973,-0.03610987,-0.40973252,-0.18204926,-0.15882769,-0.064347275,-0.09382937,-0.0947081,-0.053716745
"85","BZW2","BZW2","217809_at",625,0.7168636,0.48196074,0.51994675,0.6161141,0.61388886,0.4012397,0.6326685,0.20938131,0.7574929,0.18528023,0.737568,0.66724753,0.703156,0.6761699,0.68855304,0.66812915
"275","EVL","EVL","217838_s_at",627,-0.24111852,-0.45994735,-0.392767,-0.41512936,-0.38302162,-0.38439456,-0.32879612,-0.22809634,-0.23715451,-0.5942755,-0.27049983,-0.32571915,-0.2635189,-0.2653755,-0.27574465,-0.30664256
"62","BACE2","BACE2","217867_x_at",628,-0.6225305,-0.59181607,-0.6910642,-0.6190839,-0.6380238,-0.6266089,-0.50531995,-0.5916259,-0.63883287,-0.53803265,-0.668506,-0.63082975,-0.6406051,-0.6316507,-0.61310095,-0.63182145
"596","PIH1D1","PIH1D1","217872_at",629,-0.1003233,-0.17314686,-0.12916465,-0.18565987,-0.1112393,-0.15448928,0.056097534,-0.2113872,-0.09643731,-0.270043,-0.1204281,-0.1458621,-0.090362564,-0.091723286,-0.07756607,-0.10444502
"90","CAB39","CAB39","217873_at",630,-0.8087396,-0.79681385,-0.8256746,-0.83102965,-0.7787381,-0.8306591,-0.7884099,-0.7871416,-0.7980528,-0.82554084,-0.7967715,-0.80659825,-0.7868758,-0.8017706,-0.7958377,-0.7889352
"379","IARS2","IARS2","217900_at",631,-0.8206186,-0.85026175,-0.84957916,-0.8414734,-0.8331505,-0.8334081,-0.8059048,-0.8262782,-0.8108031,-0.87822205,-0.82512164,-0.82497513,-0.80758744,-0.8100271,-0.8092245,-0.8102615
"235","DSG2","DSG2","217901_at",632,-0.175475,-0.61105025,-0.104761325,-0.65788317,-0.18162546,-0.1828526,-0.39291045,-0.7903226,-0.1306781,-0.8856641,0.0014383035,-0.5214784,-0.06493903,-0.102540754,-0.11459424,-0.1337978
