cid,SMILES,value
16323,C1=CC=C(C=C1)C2=CC=C(C=C2)Cl,0
16329,C1=CC=C(C=C1)C2=CC=CC=C2Br,0
16351,CN1CCN(CC1)C2=NC3=CC=CC=C3SC4=C2C=C(C=C4)Cl,0
16361,C1CN(CCC1(C2=CC(=CC=C2)C(F)(F)F)O)CCCC(=O)C3=CC=C(C=C3)F.Cl,0
16420,C1=CC(=CC=C1C2=CSC(=N2)N)[N+](=O)[O-],0
16451,C1=CC=C(C=C1)C2=CC=C(C=C2)N.Cl,0
16463,C1=C(OC(=C1)[N+](=O)[O-])C2=NNC(=O)O2,0
16659,C1=CC=C2C(=C1)N=C(C(=N2)Cl)Cl,0
16697,C(N(CP(=O)([O-])[O-])CP(=O)([O-])[O-])P(=O)(O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+],0
16698,C(N(CP(=O)(O)O)CP(=O)(O)O)P(=O)(O)O,0
16720,C1=CC2=C(C=CC=C2N)C(=C1)N,0
16803,C1=CC=C2C(=C1)N=C(O2)C3=CN=CC=C3,0
16989,C1=CC(=NC(=C1)Cl)Cl,0
18171,C(C(=O)O)C(CC(=O)[O-])(C(=O)[O-])O.[NH4+].[NH4+],0
18204,CN(C)CCOCCN(C)C,0
18302,C(CO)C(CO)O,0
18555,C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-],0
18635,CSCCC=O,0
19756,C1=CC=C2C(=C1)NC(=N2)C3=CC=CO3,0
20084,CC(C)NC(=O)NC(C)C,0
20414,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,0
20612,C1=CC(=CC=C1C2=NC(=NC(=N2)N)N)Cl,0
20686,CC(CCC#N)C#N,0
20717,CN(C)CCCl.Cl,0
21218,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],1
21220,C(C(C(=O)O)S(=O)(=O)O)C(=O)O,0
21277,C1=CC(=CC=C1C(Cl)(Cl)Cl)Cl,0
21574,CC(CC=O)CC(C)(C)C,0
21640,C1=CC=C(C=C1)N2C(=NN=N2)N,0
22420,C1CNP(=O)(OC1)N(CCCl)CCCl.O,0
22522,CC(COP(=O)(OCC(C)Cl)OCC(C)Cl)Cl,0
22563,CC(C)NC1=NC(=NC(=N1)N)Cl,0
22576,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,0
22879,C1=CC=C2C(=C1)C(=NS2(=O)=O)[O-].C1=CC=C2C(=C1)C(=NS2(=O)=O)[O-].O.[Ca+2],0
23421,CNC(=O)OC1=CC=CC=C1C2OCCO2,0
23702,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C.CS(=O)(=O)O,0
23894,CC(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+],0
24451,OP(=O)([O-])OP(=O)(O)[O-].[Na+].[Na+],0
25622,C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl,0
25979,CNCC1=CC=CC=C1.Cl,0
26176,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,0
26596,CCCCC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,1
26695,CC(=O)OC1=C(C=C(C=C1I)I)C(=O)NC2=CC=C(C=C2)Cl,1
26975,CCCCCC1=CC=C(C=C1)O,1
27461,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Fe+3],0
27655,C(C(C(=O)O)Cl)C(=O)O,0
27775,CNC1=NC(=NC(=N1)N(C)C)N(C)C,0
27982,C(CCl)P(=O)(O)O,0
28697,C1=CC(=C(C(=C1[N+](=O)[O-])Cl)Cl)Cl,0
29249,CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)O,1
29354,CCCCCCOC1=CC=C(C=C1)O,1
29872,C1=CC2=C(C(=C1)Cl)N=C(S2)N,0
30084,C1=CC(=CC=C1N)Cl.Cl,0
30479,CC(C)(C)C1=NN=C(N(C1=O)N)SC,0
31168,C1=CC=C2C(=C1)C(=CN2)/C=N/C3=NC=CS3,0
31316,CC1=CC(=C(C=C1C2(C3=CC=CC=C3C(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,1
31335,CC1(C(=O)N(C(=O)N1Cl)Br)C,0
31352,C(C(CO)(CO)COCC(CO)(CO)CO)O,0
31355,CC(C)COP(=O)(OCC(C)C)OCC(C)C,0
31390,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0
31420,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)N)N,0
31432,CC(C)(C)C(=O)C(Cl)Cl,0
33528,CCCCCCCCN1C(=O)C=CS1,1
34632,CCOC(=O)NC1=CC2=C(C=C1)SC3=CC=CC=C3N2C(=O)CCN4CCOCC4.Cl,0
35416,CNCCCC1=CC=CC=C1.Cl,0
36094,C1=CC(=C(C=C1C(CNCCCCCCNCC(C2=CC(=C(C=C2)O)O)O)O)O)O.OS(=O)(=O)O,0
38018,C1=CC(=C(C(=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl)Cl,0
38046,C1=CC=C2C(=C1)C(=C(C(=O)O2)N)N,0
38911,CC1=CC(=O)N(C(=C1)C2CCCCC2)O.C(CO)N,1
39526,C1CC2CN(CCN2C1)CCC(=O)N3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl,0
39685,C1=CC=C(C=C1)NC2=C(C(=O)OC3=CC=CC=C32)[N+](=O)[O-],0
40301,C1=CC=C(C=C1)C2=CSC(=N2)N.O.Br,0
40302,C1=CC=C(C=C1)C2=CSC(=N2)N,0
40586,CC1C2=C(CC(O1)CC(=O)O)C(=O)C3=C(C2=O)C(=CC=C3)O,1
41909,CC(C)(C)C1=NNC(=O)N(C1=O)N,0
42040,C#CC1=CC=C(C=C1)C2=CC=CC=C2F,0
43000,C1=CC=C(C=C1)NC2=C(C(=O)OC3=CC=CC=C32)N,0
49837,C1(=C(SN=C1Cl)C(=O)O)Cl,0
50293,C1=CC(=NC=C1C(Cl)(Cl)Cl)Cl,0
52195,CC(C)NCCCC1(C2=CC=CC=C2C3=CC=CC=C31)C(=O)N,0
53277,CC1C(OC2=C(C1=O)C(=C3C(=C2)C(=C(C=C3O)O)C4=C(C=C(C5=C(C6=C(C=C54)OC(C(C6=O)C)C)O)O)O)O)C,1
54840,CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2.Cl,0
54856,CNCCC1C2=CC=CC=C2OC3=CC=CC=C3S1.C(=O)(C(=O)O)O,0
54858,CNCCCC1C2=CC=CC=C2OC3=CC=CC=C3S1.C(=O)(C(=O)O)O,0
55662,C1=CC=C(C=C1)N2C=NC3=C2C4=CC=CC=C4OC3=O,0
56738,COCCOCC(OC)OC,0
60960,C([C@@H](C(=O)O)N)S.Cl,0
60962,C1=CC=C(C=C1)NN.Cl,0
61032,COCCC#N,0
61253,CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,1
61828,CC1(C(=O)N(C(=O)N1Br)Cl)C,0
62097,CCCCNC(=O)OCC#CI,1
62411,C(COCC#CCOCCO)O,0
62466,C(C(=O)NCO)Cl,0
64127,CN1C2=C(N=C1Br)N(C(=O)N(C2=O)C)C,0
64150,C1C2CC3CC1CC(C2)(C3)N.Cl,0
64961,C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,0
