Gene,Sample1,Sample2,Sample3
7.3225,7.3225,7.209,208950_s_at
6.7562,6.7562,7.542,209015_s_at
6.5453,6.5453,7.651,209029_at
10.0362,10.0362,10.8922,209045_at
10.8216,10.8216,12.2257,209083_at
8.1472,8.1472,8.4841,209092_s_at
9.9507,9.9507,9.7432,209095_at
8.1713,8.1713,8.2689,209100_at
4.1142,4.1142,4.115,209109_s_at
7.7614,7.7614,8.8882,209161_at
5.4114,5.4114,5.2901,209163_at
9.7623,9.7623,9.9844,209166_s_at
7.1001,7.1001,6.0383,209179_s_at
8.3112,8.3112,10.0711,209189_at
8.2906,8.2906,9.1679,209191_at
4.761,4.761,4.3377,209213_at
7.4697,7.4697,7.184,209215_at
7.0126,7.0126,6.7624,209253_at
4.3763,4.3763,4.2783,209260_at
4.1144,4.1144,7.99,209262_s_at
6.5329,6.5329,6.5699,209263_x_at
10.7046,10.7046,11.1034,209304_x_at
11.28,11.28,11.975,209337_at
7.7246,7.7246,7.8257,209341_s_at
7.9703,7.9703,8.1556,209364_at
6.6583,6.6583,6.4177,209367_at
7.7875,7.7875,7.3092,209380_s_at
9.1991,9.1991,10.4766,209408_at
7.0681,7.0681,5.8834,209409_at
10.6332,10.6332,8.9353,209435_s_at
9.0099,9.0099,10.1305,209507_at
7.4518,7.4518,7.1231,209515_s_at
8.7505,8.7505,8.6003,209526_s_at
6.8863,6.8863,7.9905,209531_at
6.444,6.444,6.7262,209567_at
7.6293,7.6293,7.9487,209586_s_at
4.1146,4.1146,4.1151,209603_at
7.795,7.795,8.9612,209608_s_at
6.2526,6.2526,6.6396,209662_at
5.3877,5.3877,4.7227,209710_at
10.9012,10.9012,9.5309,209806_at
10.6451,10.6451,11.2566,209899_s_at
5.8265,5.8265,7.0027,210058_at
7.1878,7.1878,8.2431,210115_at
7.0655,7.0655,6.3836,210151_s_at
7.9437,7.9437,8.6753,210153_s_at
6.9331,6.9331,7.2619,210416_s_at
5.4491,5.4491,4.6251,210640_s_at
8.9691,8.9691,8.9934,210719_s_at
7.3521,7.3521,8.081,210788_s_at
4.9985,4.9985,5.2264,210986_s_at
7.9068,7.9068,8.0078,211015_s_at
9.3061,9.3061,9.5513,211071_s_at
